Designator,Mid X,Mid Y,Rotation,Layer
D4_7,18.318745,-28.449686,180.0,top
D4_6,28.518745,-48.849686,180.0,top
D4_5,8.118745,-38.649686,180.0,top
D4_4,38.718745,-38.649686,180.0,top
D4_3,28.518745,-28.449686,180.0,top
D4_2,28.518745,-38.649686,180.0,top
D4,28.518745,-8.049686,180.0,top
D5_25,31.858745,-28.482187,90.0,top
D5_24,11.458745,-28.482187,90.0,top
D5_23,21.658745,-18.282187,90.0,top
D5_22,11.458745,-48.882187,90.0,top
D5_21,21.658745,-8.082187,90.0,top
D5_20,21.658745,-48.882187,90.0,top
D5_19,21.658745,-28.482187,90.0,top
D5_18,11.458745,-38.682187,90.0,top
D5_17,31.858745,-48.882187,90.0,top
D5_16,42.058745,-18.282187,90.0,top
D5_15,31.858745,-8.082187,90.0,top
D5_14,52.258745,-8.082187,90.0,top
D5_13,52.258745,-28.482187,90.0,top
D5_12,42.058745,-38.682187,90.0,top
D5_11,42.058745,-28.482187,90.0,top
D5_10,21.658745,-38.682187,90.0,top
D5_9,11.458745,-18.282187,90.0,top
D5_8,11.458745,-8.082187,90.0,top
D5_7,52.258745,-18.282187,90.0,top
D5_6,31.858745,-18.282187,90.0,top
D5_5,52.258745,-48.882187,90.0,top
D5_4,42.058745,-48.882187,90.0,top
D5_3,52.258745,-38.682187,90.0,top
D5_2,31.858745,-38.682187,90.0,top
D5,42.058745,-8.082187,90.0,top
D6_25,5.755798,-51.316739,315.0,top
D6_24,5.755798,-41.116739,315.0,top
D6_23,46.555798,-41.116739,315.0,top
D6_22,36.355798,-30.916739,315.0,top
D6_21,26.155798,-41.116739,315.0,top
D6_20,46.555798,-10.516739,315.0,top
D6_19,15.955798,-51.316739,315.0,top
D6_18,15.955798,-30.916739,315.0,top
D6_17,46.555798,-20.716739,315.0,top
D6_16,15.955798,-10.516739,315.0,top
D6_15,26.155798,-20.716739,315.0,top
D6_14,36.355798,-41.116739,315.0,top
D6_13,26.155798,-30.916739,315.0,top
D6_12,36.355798,-10.516739,315.0,top
D6_11,36.355798,-20.716739,315.0,top
D6_10,15.955798,-20.716739,315.0,top
D6_9,5.755798,-10.516739,315.0,top
D6_8,26.155798,-51.316739,315.0,top
D6_7,26.155798,-10.516739,315.0,top
D6_6,5.755798,-20.716739,315.0,top
D6_5,5.755798,-30.916739,315.0,top
D6_4,46.555798,-51.316739,315.0,top
D6_3,46.555798,-30.916739,315.0,top
D6_2,15.955798,-41.116739,315.0,top
D6,36.355798,-51.316739,315.0,top
D7_25,48.938745,-11.499686,0.0,top
D7_24,28.538745,-11.499686,0.0,top
D7_23,18.338745,-21.699686,0.0,top
D7_22,38.738745,-31.899686,0.0,top
D7_21,8.138745,-21.699686,0.0,top
D7_20,38.738745,-52.299686,0.0,top
D7_19,28.538745,-31.899686,0.0,top
D7_18,48.938745,-42.099686,0.0,top
D7_17,8.138745,-11.499686,0.0,top
D7_16,48.938745,-31.899686,0.0,top
D7_15,8.138745,-52.299686,0.0,top
D7_14,48.938745,-52.299686,0.0,top
D7_13,38.738745,-42.099686,0.0,top
D7_12,18.338745,-52.299686,0.0,top
D7_11,18.338745,-31.899686,0.0,top
D7_10,38.738745,-11.499686,0.0,top
D7_9,28.538745,-52.299686,0.0,top
D7_8,8.138745,-42.099686,0.0,top
D7_7,38.738745,-21.699686,0.0,top
D7_6,28.538745,-21.699686,0.0,top
D7_5,18.338745,-11.499686,0.0,top
D7_4,48.938745,-21.699686,0.0,top
D7_3,8.138745,-31.899686,0.0,top
D7_2,28.538745,-42.099686,0.0,top
D7,18.338745,-42.099686,0.0,top
R1_25,19.248745,-47.599686,135.0,top
R1_24,49.848745,-37.399686,135.0,top
R1_23,39.648745,-27.199686,135.0,top
R1_22,9.048745,-16.999686,135.0,top
R1_21,9.048745,-27.199686,135.0,top
R1_20,39.648745,-16.999686,135.0,top
R1_19,29.448745,-27.199686,135.0,top
R1_18,29.448745,-16.999686,135.0,top
R1_17,19.248745,-37.399686,135.0,top
R1_16,49.848745,-27.199686,135.0,top
R1_15,49.848745,-16.999686,135.0,top
R1_14,19.248745,-27.199686,135.0,top
R1_13,49.848745,-6.799686,135.0,top
R1_12,9.048745,-6.799686,135.0,top
R1_11,19.248745,-16.999686,135.0,top
R1_10,29.448745,-6.799686,135.0,top
R1_9,39.648745,-47.599686,135.0,top
R1_8,49.848745,-47.599686,135.0,top
R1_7,19.248745,-6.799686,135.0,top
R1_6,9.048745,-47.599686,135.0,top
R1_5,29.448745,-47.599686,135.0,top
R1_4,9.048745,-37.399686,135.0,top
R1_3,39.648745,-6.799686,135.0,top
R1_2,29.448745,-37.399686,135.0,top
R1,39.648745,-37.399686,135.0,top
U1_25,48.318745,-50.469686,0.0,top
U1_24,48.318745,-19.869686,0.0,top
U1_23,7.518745,-9.669686,0.0,top
U1_22,38.118745,-30.069686,0.0,top
U1_21,17.718745,-9.669686,0.0,top
U1_20,27.918745,-9.669686,0.0,top
U1_19,48.318745,-30.069686,0.0,top
U1_18,17.718745,-50.469686,0.0,top
U1_17,7.518745,-19.869686,0.0,top
U1_16,17.718745,-19.869686,0.0,top
U1_15,27.918745,-30.069686,0.0,top
U1_14,17.718745,-30.069686,0.0,top
U1_13,38.118745,-50.469686,0.0,top
U1_12,38.118745,-9.669686,0.0,top
U1_11,38.118745,-40.269686,0.0,top
U1_10,17.718745,-40.269686,0.0,top
U1_9,7.518745,-50.469686,0.0,top
U1_8,48.318745,-40.269686,0.0,top
U1_7,7.518745,-40.269686,0.0,top
U1_6,27.918745,-19.869686,0.0,top
U1_5,38.118745,-19.869686,0.0,top
U1_4,27.918745,-50.469686,0.0,top
U1_3,48.318745,-9.669686,0.0,top
U1_2,7.518745,-30.069686,0.0,top
U1,27.918745,-40.269686,0.0,top
